timestamp,frame,right_hip_angle,right_knee_angle,right_ankle_angle,left_hip_angle,left_knee_angle,left_ankle_angle
2025-10-06 19:15:40.622,888,111.91133141909903,64.96436725100871,135.89517369715006,170.38367522553884,179.98012331680204,168.55895606516512
2025-10-06 19:15:40.685,889,111.91133141909903,64.96436725100871,135.89517369715006,170.38367522553884,179.88874282873655,168.690067459882
2025-10-06 19:15:40.752,890,111.91133141909903,64.96436725100871,135.89517369715006,170.38367522553884,179.88874282873655,168.690067459882
2025-10-06 19:15:40.815,891,111.91133141909903,66.79550453446751,137.72631097977444,170.5303614883354,179.98012331680204,168.55895606516512
2025-10-06 19:15:40.878,892,112.54075925627804,70.79448292234329,141.09586152520995,171.23005214252086,178.8081651051183,169.21570206208258
2025-10-06 19:15:40.941,893,112.91661800105985,74.23061925504315,144.9405730096631,170.73505995058503,179.05134886272057,169.0888715453916
2025-10-06 19:15:41.005,894,112.64972451258919,86.84812926833041,158.19859046528654,170.47325708572723,179.45692759011115,168.14699576628647
2025-10-06 19:15:41.069,895,115.51331387919996,121.7441028723088,169.33965163508103,169.9555550869104,179.5974592080281,168.2875276229092
2025-10-06 19:15:41.134,896,116.90074137563917,117.86256896630826,174.1736578564446,169.91975192845882,179.84599496651214,168.42481111656787
2025-10-06 19:15:41.199,897,117.04427248976913,137.93250821412045,154.21267179319028,169.43372434121494,179.5974592080281,168.2875276229092
2025-10-06 19:15:41.263,898,117.82249015337793,151.95189423248115,140.52754013586036,170.3801398348671,177.28136789130426,170.31121335894957
2025-10-06 19:15:41.326,899,118.10965007525124,156.3357397403859,136.4688006998106,171.46845458534352,174.93123566397554,171.57303088405735
2025-10-06 19:15:41.390,900,118.54164626996871,166.4511195351273,126.74747094372273,171.31538895279743,174.93123566397554,171.57303088405735
2025-10-06 19:15:41.452,901,119.30554473081436,169.6081522863879,124.35433664685424,171.0275841350836,175.01879392345805,171.77327744138148
2025-10-06 19:15:41.532,902,120.80968997065195,168.40981863323535,126.60707480284553,170.59838886160745,175.35136908225974,171.86989755131083
2025-10-06 19:15:41.609,903,121.94659822659007,168.56631869911956,127.9987324314816,170.91591145223822,173.90060818522716,172.6262335353572
2025-10-06 19:15:41.670,904,123.21005960550201,166.1688694919889,131.69813431170556,170.22148652995628,175.16473854376144,172.05652809483288
2025-10-06 19:15:41.733,905,123.96222705996792,165.9477274661912,132.70938994241433,169.6584724769511,175.7277525874616,172.05652809483288
2025-10-06 19:15:41.795,906,124.75216900721226,130.47542447256868,169.0459372940996,170.67429793287343,175.94095353967688,171.96428919490984
2025-10-06 19:15:41.873,907,127.48873751240535,72.93148038413666,130.60129462369727,171.3235484863853,176.05957817058547,171.96428919490984
2025-10-06 19:15:41.954,908,126.86818760161489,68.71027996584037,126.57303095649384,171.3235484863853,175.39763383507065,172.6262335353572
2025-10-06 19:15:42.029,909,135.6088588988792,78.97949052395101,127.18470644129215,172.32301823545617,176.61579916188035,172.6262335353572
2025-10-06 19:15:42.094,910,141.49431996912529,87.51986112638619,130.19204602421922,170.44404199643222,179.40415533042346,172.6262335353572
